SMILES,amount of this SMILES, max, min, median, mean, MAD(eV), SD(eV), CV 
C1C(=CC2=C1C=C[SiH2]2)C1=CC2=C(C1)C=C[SiH2]2,1,-0.161,-0.161,-0.161,-0.161,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)C1=CC2=C([SiH2]1)C=C[SiH2]2,1,-0.168,-0.168,-0.168,-0.168,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)C1=CC=C[SiH2]1,1,-0.172,-0.172,-0.172,-0.172,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2[se]ccc2C1,5,-0.16,-0.161,-0.16,-0.1604,0.01306,0.013331,-0.0031
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2[se]ccc2[SiH2]1,5,-0.166,-0.167,-0.166,-0.1664,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c(C1)ccc1=C[SiH2]C=c21,5,-0.159,-0.16,-0.159,-0.1594,0.01306,0.013331,-0.0031
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c(C1)ccc1c[nH]cc21,5,-0.149,-0.15,-0.149,-0.1494,0.01306,0.013331,-0.0033
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c(C1)ccc1ccccc21,5,-0.164,-0.165,-0.164,-0.1644,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c(C1)ccc1cocc21,5,-0.159,-0.159,-0.159,-0.159,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c(C1)ccc1cscc21,5,-0.159,-0.16,-0.159,-0.1594,0.01306,0.013331,-0.0031
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c(C1)ccc1nsnc21,5,-0.171,-0.172,-0.171,-0.1714,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c([SiH2]1)ccc1=C[SiH2]C=c21,5,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c([SiH2]1)ccc1c[nH]cc21,5,-0.156,-0.156,-0.156,-0.156,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c([SiH2]1)ccc1ccccc21,5,-0.169,-0.17,-0.169,-0.1694,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c([SiH2]1)ccc1cocc21,5,-0.165,-0.166,-0.165,-0.1652,0.00871,0.010885,-0.0024
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c([SiH2]1)ccc1cscc21,5,-0.165,-0.166,-0.165,-0.1654,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2c([SiH2]1)ccc1nsnc21,5,-0.176,-0.177,-0.176,-0.1764,0.01306,0.013331,-0.0028
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2ccccc2C1,5,-0.167,-0.168,-0.167,-0.1674,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2ccccc2[SiH2]1,5,-0.171,-0.172,-0.171,-0.1714,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2cnccc2C1,5,-0.174,-0.176,-0.174,-0.1748,0.02612,0.026662,-0.0056
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2cnccc2[SiH2]1,5,-0.178,-0.179,-0.178,-0.1784,0.01306,0.013331,-0.0027
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2ncccc2C1,5,-0.173,-0.175,-0.173,-0.1738,0.02612,0.026662,-0.0056
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2ncccc2[SiH2]1,5,-0.177,-0.178,-0.177,-0.1774,0.01306,0.013331,-0.0028
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2occc2C1,5,-0.158,-0.159,-0.158,-0.1584,0.01306,0.013331,-0.0031
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2occc2[SiH2]1,5,-0.165,-0.166,-0.165,-0.1654,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2sccc2C1,5,-0.161,-0.162,-0.161,-0.1614,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)C1=Cc2sccc2[SiH2]1,5,-0.167,-0.168,-0.167,-0.1674,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2[SiH2]C=Cc2[se]1,4,-0.168,-0.168,-0.168,-0.168,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2[SiH2]C=Cc2o1,5,-0.165,-0.166,-0.165,-0.1654,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1cc2[SiH2]C=Cc2s1,5,-0.168,-0.168,-0.168,-0.168,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2[se]ccc2[se]1,4,-0.168,-0.169,-0.1685,-0.1685,0.01361,0.013606,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1cc2[se]ccc2o1,3,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2[se]ccc2s1,5,-0.168,-0.169,-0.169,-0.1686,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3=C[SiH2]C=c23)[se]1,5,-0.167,-0.167,-0.167,-0.167,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3=C[SiH2]C=c23)o1,5,-0.164,-0.165,-0.165,-0.1646,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3=C[SiH2]C=c23)s1,5,-0.167,-0.167,-0.167,-0.167,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3c[nH]cc23)[se]1,5,-0.157,-0.157,-0.157,-0.157,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3c[nH]cc23)o1,5,-0.154,-0.155,-0.155,-0.1546,0.01306,0.013331,-0.0032
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3c[nH]cc23)s1,5,-0.157,-0.158,-0.158,-0.1576,0.01306,0.013331,-0.0031
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3ccccc23)[se]1,5,-0.171,-0.172,-0.172,-0.1716,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3ccccc23)o1,4,-0.169,-0.17,-0.1695,-0.1695,0.01361,0.013606,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3ccccc23)s1,5,-0.171,-0.172,-0.172,-0.1716,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3cocc23)[se]1,5,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3cocc23)o1,5,-0.164,-0.164,-0.164,-0.164,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3cocc23)s1,5,-0.166,-0.167,-0.167,-0.1666,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3cscc23)[se]1,5,-0.167,-0.167,-0.167,-0.167,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3cscc23)o1,5,-0.164,-0.165,-0.164,-0.1644,0.01306,0.013331,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3cscc23)s1,5,-0.167,-0.167,-0.167,-0.167,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3nsnc23)[se]1,5,-0.178,-0.179,-0.179,-0.1786,0.01306,0.013331,-0.0027
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3nsnc23)o1,4,-0.177,-0.178,-0.1775,-0.1775,0.01361,0.013606,-0.0028
C1C(=CC2=C1C=C[SiH2]2)c1cc2c(ccc3nsnc23)s1,5,-0.178,-0.179,-0.179,-0.1786,0.01306,0.013331,-0.0027
C1C(=CC2=C1C=C[SiH2]2)c1cc2ccccc2[se]1,5,-0.173,-0.175,-0.175,-0.1742,0.02612,0.026662,-0.0056
C1C(=CC2=C1C=C[SiH2]2)c1cc2ccccc2o1,5,-0.173,-0.173,-0.173,-0.173,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2ccccc2s1,5,-0.174,-0.175,-0.174,-0.1744,0.01306,0.013331,-0.0028
C1C(=CC2=C1C=C[SiH2]2)c1cc2cnccc2[se]1,5,-0.18,-0.182,-0.182,-0.1812,0.02612,0.026662,-0.0054
C1C(=CC2=C1C=C[SiH2]2)c1cc2cnccc2o1,5,-0.18,-0.181,-0.18,-0.1804,0.01306,0.013331,-0.0027
C1C(=CC2=C1C=C[SiH2]2)c1cc2cnccc2s1,4,-0.181,-0.182,-0.1815,-0.1815,0.01361,0.013606,-0.0028
C1C(=CC2=C1C=C[SiH2]2)c1cc2ncccc2[se]1,5,-0.179,-0.18,-0.18,-0.1796,0.01306,0.013331,-0.0027
C1C(=CC2=C1C=C[SiH2]2)c1cc2ncccc2o1,5,-0.179,-0.18,-0.18,-0.1796,0.01306,0.013331,-0.0027
C1C(=CC2=C1C=C[SiH2]2)c1cc2ncccc2s1,4,-0.179,-0.18,-0.1795,-0.1795,0.01361,0.013606,-0.0028
C1C(=CC2=C1C=C[SiH2]2)c1cc2occc2[se]1,4,-0.166,-0.166,-0.166,-0.166,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2occc2o1,5,-0.164,-0.164,-0.164,-0.164,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cc2occc2s1,4,-0.166,-0.167,-0.1665,-0.1665,0.01361,0.013606,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1cc2sccc2[se]1,5,-0.168,-0.169,-0.169,-0.1686,0.01306,0.013331,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1cc2sccc2o1,3,-0.166,-0.167,-0.167,-0.16667,0.01209,0.012828,-0.0028
C1C(=CC2=C1C=C[SiH2]2)c1cc2sccc2s1,4,-0.168,-0.169,-0.1685,-0.1685,0.01361,0.013606,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1ccc[se]1,3,-0.17,-0.17,-0.17,-0.17,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1ccco1,2,-0.167,-0.168,-0.1675,-0.1675,0.01361,0.013606,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1cccs1,4,-0.17,-0.17,-0.17,-0.17,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1cncs1,3,-0.179,-0.18,-0.18,-0.17967,0.01209,0.012828,-0.0026
C1C(=CC2=C1C=C[SiH2]2)c1nccs1,3,-0.179,-0.179,-0.179,-0.179,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1scc2C=C[SiH2]c12,4,-0.174,-0.175,-0.175,-0.17475,0.0102,0.011783,-0.0025
C1C(=CC2=C1C=C[SiH2]2)c1scc2[SiH2]C=Cc12,4,-0.173,-0.174,-0.1735,-0.1735,0.01361,0.013606,-0.0029
C1C(=CC2=C1C=C[SiH2]2)c1scc2[nH]ccc12,4,-0.152,-0.152,-0.152,-0.152,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1scc2[se]ccc12,4,-0.164,-0.165,-0.1645,-0.1645,0.01361,0.013606,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1scc2c1c1ccccc1c1ccccc21,4,-0.171,-0.177,-0.177,-0.1755,0.06123,0.070697,-0.0148
C1C(=CC2=C1C=C[SiH2]2)c1scc2cc[nH]c12,4,-0.156,-0.156,-0.156,-0.156,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1scc2cc[se]c12,4,-0.165,-0.166,-0.1655,-0.1655,0.01361,0.013606,-0.003
C1C(=CC2=C1C=C[SiH2]2)c1scc2ccoc12,4,-0.164,-0.164,-0.164,-0.164,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1scc2ccsc12,4,-0.165,-0.165,-0.165,-0.165,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1scc2nccnc12,5,-0.172,-0.173,-0.173,-0.1726,0.01306,0.013331,-0.0028
C1C(=CC2=C1C=C[SiH2]2)c1scc2occc12,4,-0.164,-0.164,-0.164,-0.164,0.0,0.0,-0.0
C1C(=CC2=C1C=C[SiH2]2)c1scc2sccc12,4,-0.165,-0.165,-0.165,-0.165,0.0,0.0,-0.0
C1C(=Cc2[se]c3C=C[SiH2]c3c12)C1=CC=C[SiH2]1,5,-0.168,-0.169,-0.168,-0.1684,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1ccc[se]1,5,-0.167,-0.168,-0.168,-0.1676,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccc2=C[SiH2]C=c12,5,-0.168,-0.169,-0.169,-0.1686,0.01306,0.013331,-0.0029
C1C(=Cc2[se]c3C=C[SiH2]c3c12)c1cccc2c[nH]cc12,5,-0.156,-0.159,-0.158,-0.1578,0.0283,0.031734,-0.0074
